シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
ふふ…来てしまいましたか,Valen,normal_open,Strain,Valen_scenario_hahaha,,In,In,Out,Throne
テムの思いに報いるためにも、俺は貴方の野望を全力で止める。,Lucius,angry_open,,,,In,In,,
野望なんて言い方をしないで頂きたいものです。,Valen,trouble_close,,,,In,In,,
僕はただ、ラトラフ族のこの力を人々に向けて有効活用して/国の発展に努めたいだけですから。,Valen,glad_open,,,,In,In,,
そんなの、自然の理に反してる!!,Tem,angry_open,,Tem_scenario_tigau,,In,In,,
長様や一族みんなが守ってきた力をこれ以上……。,Tem,angry_open,,,,In,In,,
これ以上悪い事に使わないで…!!,Tem,trouble_open,,,,In,In,,
でもまさか洗脳に気付かれるとは思いませんでした。,Valen,angry_close,,,,In,In,,
我ながら上手く手広くやれたと思ったのですが/…流石神官というわけですか。,Valen,angry_open,,Valen_scenario_uhuhu,,In,In,,
国王さんよぉ、ちとおいたが過ぎるんじゃねぇのかい?,Nicola,trouble_open,,Nicola_scenario_oi,,In,In,,
国を治めるのに国民を洗脳するのは、いくらなんでも悪徳すぎるよな!,Theobalt,angry,,,,In,In,,
そうよ!/国民の声をちゃんと聴くのは国王の役目でしょ!,Filo,angry,,,,In,In,,
それを都合のいいように操ろうなんて、国王失格よ!!,Filo,angry,,,,In,In,,
ふふっ……。,Valen,happy_close,,Valen_scenario_uhuhu,,In,In,,
お前たち愚民どもが何を言ったところでもう止められはしない!,Valen,angry_close,,Valen_scenario_hahaha,,In,In,,
僕は選ばれたのだ、音楽の神に!/故に僕以外に膨大な力を持った者など必要ないのだよ!!,Valen,angry_open,,,,In,In,,
それがテムの一族を滅ぼした理由…?!,Orphia,trouble_close,,Orphia_scenario_e,,In,In,,
選ばれし者と仰るのなら、何故主に感謝し人々に還元しないのです!!,Orphia,angry_open,,,,In,In,,
人間はおろかです。/争いを繰り返し永遠に犠牲を生み出すしか能がない。,Valen,trouble_open,,,,In,In,,
…ならば僕は犠牲を最小限に抑え人間を操り永久に争いを無くす。,Valen,normal_open,,,,In,In,,
これが僕なりの還元、ですよ。/素晴らしい考えだと思いませんか?,Valen,glad_open,,Valen_scenario_uhuhu,,In,In,,
争いは起きないに越したことはない…/だけど!,Lucius,sad_open,,Lucius_scenario_uun,,In,In,,
意思のない人間なんて死んでいるも同然だ!!,Lucius,angry_open,,,,In,In,,
たとえ道を間違えたとしても、そこから学んで新しい何かを発見する/とともに正しい道に戻ることが出来るのが人であって…,Lucius,angry_open,,,,In,In,,
それが生きていくってことなんじゃないのか！？,Lucius,angry_open,,,,In,In,,
あああああうるさいうるさいうるさい！！！,Valen,angry_open,,Valen_scenario_urusaiurusai,,In,In,,
醜い人間なんぞ生かしておいてやるだけ感謝しろ!!,Valen,angry_open,,,,In,In,,
僕はね!!/この世界が欲しいのだよ!!,Valen,happy_close,,,,In,In,,
そして神の領域に踏み込み最強の力を手に入れるのだ!!,Valen,happy_open,,,,In,In,,
人は神様になれない。/そんなのあなたが一番わかっているでしょ？/ヴァレン…!!,Tem,battle,,Tem_scenario_tigau,,In,In,,
……僕に刃向かったことを後悔しても遅いですよ。,Valen,normal_open,Battle1,,,In,In,,
さぁ、始めましょう……/この忌々しい情操との訣別を。,Valen,battle,,Valen_skill,,In,In,,
,,,,,,,,In,
,,,,,,,,Out,
ーーーガクッ。,None,None,,,,In,In,,
何故だ!!,Valen,angry_open,Sad,Valen_scenario_nazeda!_,,In,In,,
