シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
すごい人だな、繁華街だし政府の警備も手厚いんじゃないか?,Lucius,surprise_close,M4,Lucius_scenario_hahahaha,,In,In,Out,Street2
はっはっはっはっ!!,Theobalt,glad,,,,In,In,,
昔からよく言うだろう、/人を隠すには人混みが一番だ!,Theobalt,glad_close,,,,In,In,,
都会に住む人ほど、/すれ違う人に興味をもたないものなのよ,Orphia,happy_close,,,,In,In,,
オルフィア……/笑顔で結構エグいこと言うな…,Lucius,sad_close,,,,In,In,,
ルキウス…,Tem,None,,,,In,In,,
大丈夫?,Lucius,normal_open,,,,In,In,,
………手。,Tem,normal,,,,In,In,,
…?,Lucius,normal_close,,,,In,In,,
はい………?!,Lucius,surprise_close,,,,In,In,,
うふふ…二人ともカワイイ♡,Orphia,happy_open,,,,In,In,,
…あら?,Orphia,normal_close,,Orphia_scenario_e,,In,In,,
テオ、/あそこに小さい女の子が男に囲まれてるわ。,Orphia,normal_open,,,,In,In,,
むっ…!/なにやら不穏な雰囲気だな、任せろ!!,Theobalt,happy_close,,,,In,In,,
,None,None,,,,,,In,
おい、お前たち…,Theobalt,angry,,Theobalt_scenario_oi,,In,,Out,Street2
おいおい、人の気に入りな酒場の前で何してんだ?,Nicola?,None,,Nicola_scenario_oi,,In,In,,
!?,Theobalt,trouble_close,,,,In,In,,
あぁ?,None,None,,,,In,In,,
"俺たちはタダなぁ…/このお嬢ちゃんに""ここは危ないよ""って教えてるだけなんだよ!",None,None,,,,In,In,,
そうそう。,None,None,,,,In,In,,
女の子一人でウロウロしてたら俺らみたいな/ロクでもないやるに絡まれちまうぞってなぁ～,None,None,,,,In,In,,
へっへっへっ,None,None,,,,In,In,,
あ、あたしは平気だって言ってるじゃない!,Filo?,angry,,,,In,In,,
子ども扱いしないで頂戴!/あたしには「フィロ」って名前があるの!!,Filo,angry,,Filo_home2,,In,In,,
それに、目的があってここに居るの!!,Filo,angry,,,,In,In,,
目的…?,Nicola?,trouble_close,,,,In,In,,
おい!/男三人で少女に寄ってたかって何しているんだ!!,Theobalt,angry,,,,In,In,,
俺も含まれてんだな。,Nicola?,trouble_open,,Nicola_scenario_haa,,In,In,,
もう、なんなのよ!!,Filo,angry,,,,In,In,,
次から次へと……/お呼びじゃないってば!,Filo,angry,,,,In,In,,
悪いけど、君がお呼びじゃなくても/僕は君たちに用があるんだ。,Renos?,None,Strain,Renos_scenario_waruikedo,,In,In,,
ーーーバタッ…,None,None,,,,In,In,,
?!,Nicola?&Theobalt,surprise,,,,In,In,,
ひゃあ!,Filo,surprise,,,,In,In,,
…何者だお前。,Nicola?,trouble_close,,Nicola_scenario_oi,,In,In,,
僕はリュノス。,Renos,normal_open,,Renos_home1,,In,In,,
クレモナの娘フィロに元役人の二コラ、/僕についてきてもらおう。,Renos,normal_close,,,,In,In,,
何…?/クレモナの娘だと…!,Nicola?,surprise_open,,,,In,In,,
なんでお母さんの名前を知っているのよ!/さては貴方方政府の役人ね!,Filo,surprise,,,,In,In,,
……御名答。,Renos,normal_close,,Renos_scenario_gomeitou,,In,In,,
僕はあの女の弱点が知りたくてね、/君たちに協力してもらいたいのさ。,Renos,normal_open,,,,In,In,,
…断る。,Nicola?,trouble_open,,,,In,In,,
厄介ごとには巻き込まれたくないんでね。,Nicola?,trouble_close,,Nicola_scenario_haa,,In,In,,
お母さんのこと知りたいのはこっちだし、/貴方の悪巧みに協力はできない!,Filo,angry,,,,In,In,,
ふーん……,Renos,normal_close,,Renos_scenario_huun,,In,In,,
なら、ひれ伏してもらうよ!,Renos,battle,,,,In,,,
