シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
はぁ…はぁ…ここまで来ればもう大丈夫だろ……,Lucius,sad_open,,Lucius_scenario_haa,,In,In,Out,Meadow
…あいつら…,Tem,angry_open,,,,In,In,,
ありがとうテム、君のおかげで助かった。,Lucius,glad_close,,,,In,In,,
…大袈裟だ。,Tem,trouble_open,,Tem_scenario_un,,In,In,,
君たち、ちょっといいかい?,Theobalt?,None,,Theobalt_scenario_naa,,In,In,,
…!,Lucius&Tem,surprise,,,,In,In,,
驚かせたならすまん!,Theobalt,sad,peace,,,In,In,,
俺はテオバルト、フルート奏者だ!,Theobalt,happy_close,,Theobalt_home1,,In,In,,
急にごめんなさい、私はオルフィア。,Orphia,normal_open,,Orphia_home1,,In,In,,
私たちは奏者として各地を回って/修行しているのだけれど…,Orphia,normal_close,,,,In,In,,
貴方達からは同じようで、何か違う/雰囲気を感じたの。,Orphia,happy_close,,,,In,In,,
その雰囲気の正体が知りたくて、声をかけたってワケだ!,Theobalt,happy,,,,In,In,,
少しの間君たちに同行させてはくれないか?,Theobalt,happy_close,,,,In,In,,
えっと…名乗っていただいて申し訳ないのですが…,Lucius,sad_close,,Lucius_scenario_uun,,In,In,,
僕たち先を急いでいるので…失礼します,Lucius,sad_open,,,,In,In,,
いたぞ！あの二人だ！！,???,None,,,,,,,
セロ様にはお前らを見張れと仰せつかったが…,???,None,plot,,,,,,
我々で捕らえればセロ様をギャフンと言わせられるかもしれんのだ。,???,None,,,,,,,
悪いが大人しくついて来てもらおう!,???,None,,,,,,,
しつこいっ…!,Tem,angry_open,,Tem_scenario_kuso,,In,,,
嫌に決まってるだろ!,Lucius,angry_close,,,,In,,,
お前らはテムの大切な仲間の仇だ!!,Lucius,angry_open,,,,In,,,
事情はよくわからんが分かった、ここは俺たちに任せろ!!,Theobalt,happy_close,,Theobalt_scenario_wakattaze,,In,In,,
もうテオったら…,Orphia,trouble_open,,Orphia_scenario_gomennasai,,In,In,,
でも安心して、あなた達のこと守ってあげるから。,Orphia,happy_close,,,,In,In,,
あなたたちは下がってて!,Orphia,angry_open,,,,In,In,,
愚か者どもめ、国家の邪魔をするか!!,???,None,,,,In,In,,
まぁ良い…/我らに刃向かうとどうなるか、その身に刻んでやろう!!,???,None,,,,In,In,,
,,,,,,,,,
ぐっ…我らが圧倒されるなど…あってはならぬ……!,???,None,peace,,,,,,
お前らが喧嘩ふっかけてきたこと/上司には黙ってやるからさ…,Theobalt,happy_close,,Theobalt_scenario_oi,,In,,,
さっさとどっか行きな!,Theobalt,angry,,,,In,,,
屈辱…!!,???,None,,,,In,,,
二人は無関係なのに巻き込んでしまってすまない…,Tem,trouble,,Tem_scenario_gomen,,In,In,,
助けてくれてありがとう…でもどうして…?,Lucius,normal_open,,,,In,In,,
決まってるさ!,Theobalt,glad_close,,,,In,In,,
俺は君たちに惚れた!!,Theobalt,glad,,,,In,In,,
訳わかんないわよね、ほんと。,Orphia,trouble_open,,,,In,In,,
あなた達悪い人じゃない…って気がするの、不思議だわ。,Orphia,happy_open,,Orphia_scenario_ee,,In,In,,
改めて聞こう!,Theobalt,glad_close,,,,In,In,,
俺たちを君たちの目的へ同行させてはくれないか?,Theobalt,glad,,,,In,In,,
是非お願いします、俺はルキウスって言います。,Lucius,glad_open,,Lucius_home1,,In,In,,
テムだ。よろしく頼む。,Tem,normal_open,,Tem_home1,,In,In,,
おいおい～お堅い関係はナシだ!,Theobalt,sad,,,,In,In,,
これからよろしくな!,Theobalt,glad,,,,In,In,,
