シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
ふん、やるじゃないか。/流石といったところか。,Renos,normal_open,,Renos_scenario_hun,,In,In,Out,Street_after
何よあんた!/感じ悪いわね!,Filo,angry,,,,In,In,,
だがそろそろ終わらせよう。/これで…,Renos,angry_open,,,,In,In,,
ここで何をしている、リュノスよ,Casartilio?,None,,Casartillio_scenario_oi,,In,In,,
!!/お前は…?!,Nicola,surprise_open,,,,In,In,,
うわ…,Renos,sad,,,,In,In,,
私はカサルティリオ。,Casartilio,normal_open,plot,Casartillio_home1,,In,In,,
この度は私の部下が迷惑をおかけしたようで,Casartilio,normal_close,,,,In,In,,
ルキウス、テム、/オレらの後ろに隠れてろ。,Theobalt,happy_close,,,,In,In,,
ありがとう。/すまない。,Lucius&Tem,None,,,,In,In,,
君たちは奏者ですね?/とても強い力を感じます。,Casartilio,normal_open,,,,In,In,,
どうりでリュノスが苦戦を強いられる訳だ。,Casartilio,happy_close,,,,In,In,,
苦戦してない!!,Renos,None,,Renos_scenario_betuni,,In,In,,
あの!,Filo,normal,,Filo_scenario_neenee,,In,In,,
はい？,Casartilio,normal_close,,Casartillio_scenario_nn,,In,In,,
私、おか…/クレモナの話を聞きたいんです!,Filo,trouble,,,,In,In,,
あぁ、君が例の…,Casartilio,happy_open,,Casartillio_scenario_aa,,In,In,,
申し訳ないのですが、/私から詳しいことは何も言えません。,Casartilio,sad_open,,,,In,In,,
しかし、政府に居ることは確かですよ。/君がよく知っているだろう…?,Casartilio,normal_open,,,,In,In,,
……ニコラよ。,Casartilio,happy_open,,,,In,In,,
!!?,Filo,surprise,,,,In,In,,
……!,Tem,None,,,,In,In,,
チッ……,Nicola,trouble_close,,,,In,In,,
それでは私たちはこれで失礼します。,Casartilio,normal_open,,Casartillio_scenario_soredeha,,In,In,,
ふぅ…、何だかよく分からないが/とりあえずは何とかなったみたいだな。,Theobalt,happy_close,off,,,In,In,,
ああ、助かったよ。/テオバルトの機転のおかげだ,Lucius,glad_close,,,,In,In,,
あの人…/ルキウスとテムに気付いてたと思う。,Orphia,normal_close,,,,In,In,,
何?!,Theobalt,trouble,,,,In,In,,
でも、今はそれより…,Orphia,sad_close,,Orphia_scenario_ee,,In,In,,
おじさん!どういうこと?!,Filo,angry,M2,,,In,In,,
……,Nicola,trouble_close,,,,In,In,,
私はテム…。/貴方はニコラと言ったな。,Tem,normal_open,,Tem_scenario_nee,,In,In,,
ニコラは…/政府の元役人なのか?,Tem,normal,,,,In,In,,
……あぁ、そうだ。,Nicola,trouble_open,,Nicola_scenario_haa,,In,In,,
とは言ってももう何年も前の話……/2人とも知りたいことがありそうだな。,Nicola,trouble_close,,,,In,In,,
さっきのことで人目を引いてしまったし、もし兵士が駆けつけてきたら/この人混みの中逃げるのは厳しい,Orphia,sad_open,,,,In,In,,
そこで提案なんだけれど……,Orphia,normal_open,,,,In,In,,
積もる話は置いといて、/ここは一旦みんなで王都を離れてテオと私の故郷に来ない?,Orphia,happy_open,,,,In,In,,
そうだね。/ここに留まるのはあまり良くないかもな。,Lucius,normal_close,,Lucius_scenario_hai,,In,In,,
2人の出身はここから近いのか?,Lucius,normal_open,,,,In,In,,
ああ!/ここから少し離れた駅から列車に乗ればあっという間さ!,Theobalt,happy,,,,In,In,,
三人とも、それでいいかしら?,Orphia,happy_close,,,,In,In,,
……あぁ,Nicola,None,,,,In,In,,
……うん,Filo,None,,,,In,In,,
……わかった,Tem,None,,,,In,In,,
決まりだな!,Theobalt,glad,,Theobalt_scenario_ikuzo,,In,In,,
……テム、まだニコラさんは悪い人だと決まったわけじゃないんだ。,Lucius,normal,,,,In,In,,
落ち着いて…な?,Lucius,happy,,,,In,In,,
自分でも驚くほど落ち着いている。,Tem,normal,,,,In,In,,
…ルキウスのおかげだな。,Tem,glad,,,,In,In,,
……!!,Lucius,surprise_close,,,,In,In,,
そっか!,Lucius,happy_open,,,,In,In,,
こうして一行はテオバルトとオルフィアの故郷に/向かったのである。,None,None,,,,In,In,,
