シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
なんだか嬉しそうだね。,Lucius,normal_close,M1,,,,,Out,Orphia_bedroom
ここ、すごく居心地が良い。,Tem,happy,,Tem_scenario_un,,,,,
確かに、どうしてこんなに落ち着くんだろ?,Lucius,normal_open,,,,,,,
この教会は国で唯一、音の神が訪れたとされる場所だからな!,Theobalt,happy,,,,,,,
工業地域と街は同じだが神聖な何かで区切られているのだろう。,Theobalt,happy_close,,,,,,,
テオバルトはわかるの?/そういう雰囲気って。,Filo,surprise,,Filo_scenario_neenee,,,,,
俺はほんとにざっくりとした括りしかわかんないなー。,Theobalt,happy_close,,Theobalt_scenario_tigau,,,,,
「あ、こいつは奏者だ!」みたいな?,Theobalt,happy,,,,,,,
そういうのはオルフィアのが詳しいぞ。,Theobalt,happy_close,,,,,,,
そういえば、俺たちと出会った時もオルフィアは/「他の人とは違う何かを感じる」って言ってた。,Lucius,surprise_close,,,,,,,
ええ。,Orphia,normal_close,,Orphia_scenario_ee,,,,,
テムとルキウス、2人とも揃って珍しい力を持ってるんだもの。/驚いたわ。,Orphia,normal_open,,,,,,,
…私はラトラフ族と言う少数民族の出身だ。,Tem,normal_open,,,,,,,
私達は森の深くに集落を構え、/そこで神様に感謝し自然とともに生きてきた。,Tem,normal_open,,,,,,,
私の歌は先祖が神様から神の力そのものを賜り、/代々一族が継承している力だ。,Tem,normal_open,,,,,,,
故にとても強力で、良い事にも悪い事にも傾くことができるんだ。,Tem,trouble_open,,Tem_scenario_un,,,,,
…ラトラフ族/ ……聞いた事あるな。,Nicola,trouble_close,,,,,,,
確か……,Nicola,normal_open,,,,,,,
今の王国であるヴァレンもラトラフ族であり、/次期族長になるはずの男だった。,Tem,normal_open,Poor,,,,,,
え?/っていうことは、テムは国王様とお知り合いなの?,Filo,surprise,,,,,,,
……私の兄だ。,Tem,normal_open,,Tem_scenario_un,,,,,
え?!,Lucius,surprise_close,,,,,,,
なにっ?!,Nicola,None,,,,,,,
兄と言っても血は繋がっていないが、一族は皆家族同然だった。,Tem,trouble_open,,,,,,,
だからこそ私は兄様の野望を阻み、一族の仇を討たねばならない。,Tem,angry_open,,,,,,,
仇……?,Orphia,trouble_close,,Orphia_scenario_e,,,,,
……。,Tem,angry,,,,,,,
テム、あまり無理はしない方がいい。,Lucius,sad_open,,Lucius_scenario_uun,,,,,
……ラトラフ族は2年前……/政府によって集落は焼かれ、皆殺しにされた。,Tem,angry_open,,,,,,,
……私を残して。,Tem,trouble_open,,,,,,,
嘘だろ……/政府ってことは……,Theobalt,sad,,,,,,,
ヴァレンは玉座に在りながらもその強力な力を独り占めにして、/悪政を働こうということだろうな。,Nicola,trouble_open,,Nicola_scenario_haa,,,,,
だが私はこの目で確かめるまで…まだ兄様を信じたい…,Tem,trouble_open,,,,,,,
……すまない、少し風にあたってくる。,Tem,trouble,,Tem_scenario_gomen,,,,,
ルキウス、お前の出番だ。/いくら強くても、テムは年頃の女の子だ。,Nicola,normal,,,,,,,
……絶対に一人にするな。,Nicola,trouble_open,,,,,,,
……はい!!,Lucius,glad_open,,Lucius_scenario_hai,,,,,
,,,,,,,,In,
………。,Tem,normal,,,,,,Out,Orphia_forest
テム…,Lucius,sad_open,,Lucius_scenario_uun,,,,,
…ルキウスの力、多分兄様と同じ。,Tem,normal_open,,,,,,,
国王陛下と?,Lucius,surprise_close,,,,,,,
…うん,Tem,normal,,Tem_scenario_un,,,,,
なら、きっと国王陛下に対するテムの強い思いが/俺の力を引き出してくれたんだな!,Lucius,glad_open,,,,,,,
ふふっ…なにそれ。,Tem,glad,,Tem_scenario_uhuhu,,,,,
テムの笑った顔、初めて見た,Lucius,glad_close,,Lucius_scenario_hahahaha,,,,,
そうか?,Tem,surprise,,,,,,,
…!!/ルキウス!!,Tem,angry_open,,,,,,,
ほぅ…私に気付くとは。/なかなかだな、お前たち。,Irishio?,None,Battle1,Irishio_scenario_kigatukutoha,,,,,
嫌な予感がする…!/テムは下がって!,Lucius,angry_open,,Lucius_scenario_kuso,,,,,
いけない…!/ルキウス!!,Tem,angry_open,,,,,,,
遅い!,Irishio?,angry_open,,Irishio_scenario_osoi,,,,,
―――■◎×～♪,None,None,,,,,,,
ぐぁ…？！,Lucius,angry_open,,,,,,,
邪魔なんだよ、お坊ちゃん。,Irishio?,angry_close,,,,,,,
……テムよ、私と共に来てもらおうか。,Irishio?,normal_open,,,,,,,
……!!,Tem,angry,,Tem_scenario_kuso,,,,,
―――～～♪,None,None,,,,,,,
……。,Irishio?,normal_close,,,,,,,
―――■◎×～♪,None,None,,,,,,,
なっ…!?,Tem,surprise_open,,,,,,,
君の選択次第で、このお坊ちゃんの今後が決まるぞ。,Irishio?,normal_open,,Irishio_scenario_hunn,,,,,
テ……ム……!/行くな……!!,Lucius,angry_open,,,,,,,
っ……!,Tem,trouble,,,,,,,
わかった。/お前について行こう。,Tem,trouble_open,,Tem_scenario_wakatta,,,,,
賢明だな。,Irishio?,glad_close,,Irishio_scenario_kennmeidana,,,,,
,,,,,,,,In,
