シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
なるほど、セロが手古摺るわけね。,Clemona,normal_open,,Clemona_scenario_u,,In,In,Out,Orphia_veranda
お母さ……/どうして……,Filo,sad,,,,In,In,,
もうよせクレモナ!/目を覚ませ!!,Nicola,trouble_open,,Nicola_scenario_oi,,In,In,,
相変わらず煩い人ね。/　…あなた達を少し舐めていたみたい。,Clemona,angry_open,,Clemona_scenario_nani_,,In,In,,
……待て!!,Tem,angry_open,,,,In,In,,
,None,None,,,,,,In,
あの人が、フィロの……,Lucius,sad_close,poor,,,In,,Out,
どうして……/私…居たのに……,Filo,sad,,,,In,In,,
フィロちゃん……,Orphia,sad_close,,,,In,In,,
テオ兄!フィア姉!,Barometer,normal_open,,,,In,In,,
バロ! リコ!/どうしたんだ?!,Theobalt,trouble,,,,In,In,,
「どうした?!」はこっちのセリフです!/何があったん……!,Lycopodia,angry2,,Lycopodia_scenario_mou,,In,In,,
これは失礼致しました!/お客様がいらっしゃるとは露知らず……,Lycopodia,surprise2,,,,In,In,,
ごめんなさい、みんなびっくりさせちゃったわね。,Orphia,normal_open,,Orphia_scenario_gomennasai,,In,In,,
この子達は私やテオと幼馴染なの。,Orphia,normal_close,,,,In,In,,
はじめまして!/バロメッタです!,Barometer,normal_close,,Barometer_home1,,In,In,,
妹のリコポディアです,Lycopodia,normal1,,Lycopodia_home1,,In,In,,
何かいや～な感じがしたから/おじさんが心配で慌ててこっち来たの!,Barometer,trouble_close,,Barometer_scenario_anone,,In,In,,
そしたらテオ兄もフィア姉も帰ってきてるし/お客様もいるしでさらに慌ててた次第です!,Lycopodia,angry1,,,,In,In,,
2人ともすまない、少し席を外してくれないか?,Theobalt,sad,,,,In,In,,
あっ…すみません…,Lycopodia,trouble2,,Lycopodia_scenario_uu,,In,In,,
ごめん、状況を飲み込めなくて…,Barometer,sad_open,,Barometer_scenario_gomen,,In,In,,
私なら大丈夫、気を遣わないで…。,Filo,normal,,,,In,In,,
フィロ……,Lucius,sad_open,,,,In,In,,
お母さんと直接話して真相を知るまで、/きっとまた衝突するかもしれない…。,Filo,sad,,,,In,In,,
…その度にメソメソなんてしてられないもの!,Filo,normal,,,,In,In,,
フィロ、君のひたむきで強いところはクレモナによく似ている。,Nicola,trouble_open,,,,In,In,,
俺は今の政府からクレモナを救いたい。/君に協力しよう,Nicola,glad_open,,,,In,In,,
フィロちゃんは決して一人じゃないよ。,Orphia,happy_close,,,,In,In,,
―――♪♬♩♫,None,None,M1,,,In,In,,
ありがとう、オルフィア…。,Filo,sad,,,,In,In,,
それに、バロメッタとリコピンもありがとう…。,Filo,glad,,,,In,In,,
リコピンではなくリコポディアです!,Lycopodia,angry1,,Lycopodia_scenario_mou,,In,In,,
あはは、ごめんなさい,Filo,glad,,,,In,In,,
私達はこの街でお仕事があるから/直接みんなの力にはなれないけど…,Barometer,normal_close,,Barometer_scenario_anone,,In,In,,
皆さんが無事に帰ってきた時、心安らげるよう/全力でこの街を守りますよ!,Lycopodia,happy1,,,,In,In,,
なんたって私達はこの教会の伝道師だもんね!,Barometer,happy_close,,,,In,In,,
はは、そりゃ心強いぜ。/頼んだぞ!,Theobalt,glad,,,,In,In,,
はい!,Barometer&Lyopodia,happy_open,,,,In,In,,
みんな、一日でいろいろあって疲れたでしょう?,Orphia,glad_close,,,,In,In,,
今日はここに泊まって、英気を養いましょう。,Orphia,glad_open,,,,In,In,,
いいのか…?!,Tem,normal_open,,,,In,In,,
ええ、もちろんよ。,Orphia,happy,,Orphia_scenario_ee,,In,In,,
そうして一行はオルフィアの家である教会で一息つくことになった。,,,,,,,,,
