シナリオのテキスト,キャラ名,キャラの表情,BGM,Voice,SE,一人目表示,二人目表示,画面フェード,背景
,,,,,,In,In,Out,
………。,Lucius&Tem,glad_open,Poor,Lucius_scenario_uun,,In,In,,Orphia_forest
,,,,,,,,In,
,,,,,,,,Out,
……!!,Tem&Irishio,angry_open,,,,In,In,,Orphia_forest
,,,,,,,,In,
,,,,,,,,Out,
～～!/テムっ?!,Lucius,None,,,,In,In,,Orphia_bedroom
目が覚めたのね、ルキウス。,Orphia,happy_open,,,,In,In,,
ごめんなさい。/私がもっと早く敵の気配に気が付いていたら……。,Orphia,sad_open,,Orphia_scenario_gomennasai,,In,In,,
俺たちが駆けつけた頃には、もうテムはいなかった。,Theobalt,sad_close,,,,In,In,,
起きたばかりのところ悪いが、一体何があったか教えてくれないか?,Theobalt,sad,,Theobalt_scenario_naa,,In,In,,
ヴァイオリン使いの女性に、/テムが…拐われた。,Lucius,sad_open,,Lucius_scenario_uun,,In,In,,
その人は最初からテムが目的だったし、政府の役人だと思う。,Lucius,sad_close,,,,In,In,,
……俺は……/何もできなかった。,Lucius,angry_close,,Lucius_scenario_kuso,,In,In,,
すみません、ニコラさん。/俺、テムを１人にしちゃいました。,Lucius,sad_open,,,,In,In,,
ふぅ……/なら、今度は１人にしないよう今すぐ追いかければいい。,Nicola,trouble_close,,Nicola_scenario_haa,,In,In,,
素直になれない子にはこのくらいの強引さが最適だろう,Nicola,glad_open,,,,In,In,,
……はい!,Lucius,glad_close,,,,In,In,,
ちょっと待ってろ。,Nicola,trouble_close,,,,In,In,,
?,Lucius,normal_close,,,,In,In,,
これは俺が覚えている限り書き出した/政府館内の見取り図だ。,Nicola,trouble_open,,,,In,In,,
すごい……。,Lucius,surprise_close,,,,In,In,,
テムの命がかかってる。/慎重かつ早急に事を運ばなければならない。,Nicola,trouble_open,,,,In,In,,
この10年の間にシステムが変わってなければ/ここの扉だけは簡易な警備システムになっていて、,Nicola,trouble_open,,Nicola_scenario_haa,,In,In,,
尚且つその先の通路は滅多なことがない限り使われることがない。,Nicola,trouble_open,,,,In,In,,
テオバルト、頼んだぞ。,Nicola,glad_open,,,,In,In,,
任せろ!,Theobalt,glad,,Theobalt_scenario_wakattaze,,In,In,,
精密に機械を狂わせられるのは俺だけだしな!/はっはっはっ!,Theobalt,glad,,,,In,In,,
ほんと皆には感謝してもしきれないよ。,Lucius,glad_open,,Lucius_scenario_sumanai,,In,In,,
感謝なら全部終わったあとにいくらでも聞いてやる!,Theobalt,glad_close,,,,In,In,,
もう体調は大丈夫なのか?,Theobalt,happy_close,,Theobalt_scenario_naa,,In,In,,
あぁ、皆のおかげでもうバッチリだ。,Lucius,glad_open,,,,In,In,,
…少しでも早く、俺はテムに会いたい。,Lucius,normal_open,off,,,In,In,,
,,,,,,,,In,
,,,,,,,,Out,
……何かがおかしい。,Nicola,trouble_close,Strain,Nicola_scenario_oi,,In,In,,Government
いくら使われていないとはいえ、館内がこんなに静かなことは無い。,Nicola,trouble_open,,,,In,In,,
俺の音色は主張が激しいもんだから、てっきりすぐ兵士に囲まれると思ってたぜ。,Theobalt,happy_close,,,,In,In,,
この先にいるみたい。,Orphia,normal_close,,,,In,In,,
しかも二人…/私たちのこと待っていたのね。,Orphia,angry_close,,Orphia_scenario_ee,,In,In,,
御名答、お嬢さん方!,Cello?,None,,Cello_scenario_hahahaha,,In,In,,
セロ!!,Lucius,angry_open,,,,In,In,,
ふん…/久しぶりだな、セロ。,Nicola,glad_open,,,,In,In,,
……!!お母さん!!,Filo,suprise,,,,In,In,,
感動の再開を噛みしめる時間なんて与えないわ。,Clemona,normal_open,,Clemona_scenario_gomennasai,,In,In,,
と、いうことだから…,Cello,normal_close,,,,In,In,,
先輩といえど容赦はしないさ!,Cello,battle,,,,In,In,,
今度こそお母さんに届け!/あたしの音色!!,Filo,battle,,Filo_scenario_ikuwayo,,In,In,,
,,,,,,,,In,
,,,,,,,,Out,
私達はヴァレン様の下にいる限り何も問題はないはず……。,Cello,trouble_close,Sad,Cello_scenario_nanisa,,In,In,,Government
なのに何故だが貴方達の音色に魅かれてします……。,Cello,happy_close,,,,In,In,,
嫌いなの……貴方達。,Clemona,angry_open,,Clemona_scenario_u,,In,In,,
ヴァレン様ではなく、他に大切な何かを/忘れているような気にさせられるから……。,Clemona,trouble_close,,,,In,In,,
……お母さん!!,Filo,angry,,Filo_scenario_neenee,,In,In,,
私だよ、フィロだよ!!,Filo,angry,,,,In,In,,
やっぱり……/二人とも洗脳されてる。,Orphia,sad_open,,,,In,In,,
しかもラトラフ族の神聖な力でなんかじゃない。,Orphia,normal_close,,Orphia_scenario_ee,,In,In,,
国王陛下を何とかしなければ、ずっと苦しませてしまう……。,Orphia,sad_close,,,,In,In,,
……!!,Filo,suprise,,,,In,In,,
待っててお母さん/…絶対元に戻すから!,Filo,angry,,,,In,In,,
みんな!!,Tem,None,M5,,,In,In,,
テム!!/……それにカサルティオさ…わっ?!,Lucius,surprise_close,,,,In,In,,
ーーーぎゅっ。,None,None,,,,In,In,,
……。,Lucius,surprise_close,,,,In,In,,
会いたかったよテム…。/どこも怪我して無いか?,Lucius,happy_open,,Lucius_scenario_sumanai,,In,In,,
うん!!,Tem,happy,,Tem_scenario_uhuhu,,In,In,,
この人、私のこと助けてくれた!,Tem,happy_open,,,,In,In,,
,,,,,,,,In,
,,,,,,,,Out,
,Tem&Casartilio,normal_open,,,,In,In,,Prison
,,,,,,,,In,
,,,,,,,,Out,
覚えてくれているとは光栄だ。/政府側である私がこんなことを君たちに/頼める立場ではないことは重々承知しているが…,Casartilio,happy_open,,Casartillio_scenario_aa,,In,In,,Government
…どうか陛下を止めてほしい。/私にはそれができなかった。,Casartilio,sad_open,,,,In,In,,
…それでも貴方はずっと闘ってきたのですね。/頂点から徐々に蝕まれてゆく政府そのものと。,Orphia,sad_close,,,,In,In,,
流石だな、我が師は,Nicola,glad_close,,Nicola_scenario_you,,In,In,,
ふっ……/私は奏者として歳を重ね過ぎたな。,Casartilio,happy_close,,Casartillio_scenario_aa,,In,In,,
どうか政府を…/この国を取り戻してくれ。/君たちならきっと出来るだろう。,Casartilio,normal_open,,,,In,In,,
道中の警備兵は私がなんとかする。/頼んだぞ。,Casartilio,angry_close,,,,In,In,,
カサルティリオの言葉に傾き、一行はヴァレンの待つ玉座へと向かった。,None,None,,,,,,,
